molecule_chembl_id,canonical_smiles,standard_value
CHEMBL102142,Cc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1,77.0
CHEMBL99606,CN(CCOCC/N=C(\S)Nc1cccnc1)Cc1ccccc1,4000.0
CHEMBL156882,CCCCCC(=O)O[C@H]1C=C[C@@]23CCN(C)Cc4ccc(OC)c(c42)O[C@H]3C1,9360000.0
CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,80.0
CHEMBL101518,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)cc1)Cc1ccccc1,30.0
CHEMBL156957,COc1ccc2c3c1O[C@H]1C[C@@H](OC(=O)CCOc4ccc(F)cc4)C=C[C@@]31CCN(C)C2,48300000.0
CHEMBL430679,CN(CCOCCNC(=S)NC(=O)c1cccc([N+](=O)[O-])c1)Cc1ccccc1,15.0
CHEMBL101988,CN(CCOCCNC(=S)Nc1ccc(Cl)cc1)Cc1ccccc1,1800.0
CHEMBL154026,CCCNC(=O)O[C@H]1C=C[C@@]23CCN(C)Cc4ccc(OC)c(c42)O[C@H]3C1,3130000.0
CHEMBL329518,COc1ccc(NC(=S)NCCOCCN(C)Cc2cccc([N+](=O)[O-])c2)cc1OC,1500.0
CHEMBL329733,CCN(CCOCCNC(=O)NCc1ccccc1)CC1CCCCC1,10000.0
CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,1030000.0
CHEMBL101155,CN(CCOCCCNC(=S)NC(=O)c1ccccc1)Cc1ccccc1,1100.0
CHEMBL421820,COc1ccc2c3c1O[C@H]1C[C@@H](OC(=O)c4ccc(F)c([N+](=O)[O-])c4)C=C[C@@]31CCN(C)C2,11300000.0
CHEMBL101940,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)c(Cl)c1)Cc1ccccc1,55.0
CHEMBL101809,CN(CCOCCNC(=S)NC(=O)c1ccc(-c2ccccc2)cc1)Cc1ccccc1,230.0
CHEMBL436226,CCC(=O)O[C@H]1C=C[C@@]23CCN(C)Cc4ccc(OC)c(c42)O[C@H]3C1,9460000.0
CHEMBL317541,CN(CCOCCNC(=S)NC(=O)c1ccccc1)C1CCCCC1,13.0
CHEMBL117521,C1=CC2N=C3CCCCC3=C(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)C2C=C1,0.4
CHEMBL19470,Cc1c[n+](CCN)ccc1/C=C/c1cccc2ccccc12.[Br-],30000.0
CHEMBL18863,CCCCCCC(C)OC(=O)CC(=O)C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],350000.0
CHEMBL278742,OCCC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],36000.0
CHEMBL282920,C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[I-],30000.0
CHEMBL19486,OCC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],68000.0
CHEMBL538103,CC1[N+](C)=CC=[N+]1C.[I-].[I-],120000.0
CHEMBL19337,Cc1c[n+](CCC(=O)O)ccc1/C=C/c1cccc2ccccc12.[Br-],750000.0
CHEMBL279153,NC(=O)NC(=O)C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],140000.0
CHEMBL278327,NC(=O)C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[I-],80000.0
CHEMBL279876,CC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],151.0
CHEMBL278309,CCOC(=O)C(C(=O)OCC)[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],500000.0
CHEMBL18903,CCCC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],3900.0
CHEMBL19487,CCOC(=O)C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],32000.0
CHEMBL19388,O=C(O)CC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],1000000.0
CHEMBL283112,CCOC(=O)C[n+]1ccc(/C=C/c2cccc3ccccc23)c(C)c1.[Br-],10000.0
CHEMBL19318,NCC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],64000.0
